smiles,Ki,Kd,IC50
COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC, 0.072,,
COc1cc2ncnc(Nc3cc(Br)cc(Br)c3)c2cc1OC, 113,,
Brc1cccc(Nc2ncnc3cc4nc[nH]c4cc23)c1, 0.008,,
Cc1nc2cc3ncnc(Nc4cccc(Br)c4)c3cc2[nH]1, 0.29,,
Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21, 0.01,,
CN(C)CCn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21, 1.32,,
Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21, 0.025,,
CN(C)CCn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21, 22,,
CN(C)CCn1cnc2c(Cl)c3c(Nc4cccc(Br)c4)ncnc3cc21, 203,,
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1, 29,,
Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1, 272,,
Brc1cccc(Nc2ncnc3cc4nn[nH]c4cc23)c1, 4.1,,
Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1, 44,,
Brc1cccc(Nc2ncnc3cc4cn[nH]c4cc23)c1, 0.34,,
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1, 0.44,,
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1, 0.44,,
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1, 1.24,,
Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1, 0.003,,
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1, 1.7,,
c1ccc(CNc2ncnc3ccncc23)cc1, 1460,,
Nc1cc2ncnc(NCc3ccccc3)c2cn1, 578,,
CC(=O)Nc1cc2ncnc(NCc3ccccc3)c2cn1, 100,,
Brc1cccc(Nc2ncnc3ccncc23)c1, 35,,
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1, 10,,
CC(=O)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1, 29,,
Fc1cc2ncnc(Nc3cccc(Br)c3)c2cn1, 13,,
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1, 0.13,,
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1, 0.091,,
COc1cc2ncnc(Nc3cccc(Br)c3)c2cn1, 39,,
CNc1cc2ncn(C)/c(=N\c3cccc(Br)c3)c2cn1, 3.1,,
c1ccc(CNc2ncnc3cnccc23)cc1, 2030,,
Brc1cccc(Nc2ncnc3cnccc23)c1, 51,,
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1, 0.13,,
Clc1cc2c(Nc3cccc(Br)c3)ncnc2cn1, 40,,
Fc1cc2c(Nc3cccc(Br)c3)ncnc2cn1, 124,,
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1, 0.008,,
CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1, 0.006,,
COc1cc2c(Nc3cccc(Br)c3)ncnc2cn1, 2.6,,
COc1ccc(CNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2)cc1, 2.3,,
CNc1cc2c(Nc3ccccc3)ncnc2cn1, 9.0,,
c1ccc(CNc2ncnc3ncccc23)cc1,>10000,,
Brc1cccc(Nc2ncnc3ncccc23)c1, 688,,
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2n1, 940,,
Fc1ccc2c(Nc3cccc(Br)c3)ncnc2n1, 684,,
CNc1ccc2c(Nc3cccc(Br)c3)ncnc2n1, 52,,
CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2n1, 324,,
COc1ccc2c(Nc3cccc(Br)c3)ncnc2n1, 263,,
c1ccc(CNc2ncnc3cccnc23)cc1, 603,,
Brc1cccc(Nc2ncnc3cccnc23)c1, 34,,
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1, 7.6,,
Clc1ccc2ncnc(Nc3cccc(Br)c3)c2n1, 18,,
Fc1ccc2ncnc(Nc3cccc(Br)c3)c2n1, 44,,
CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1, 3.1,,
CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1, 9.6,,
COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1, 4.3,,
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1, 0.44,,
Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21, 0.37,,
OCC(O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21, 12,,
CN(C)CCn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21, 40,,
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1, 3.7,,
O=C(O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21, 53,,
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1, 0.44,,
Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21, 0.80,,
OCC(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21, 1.6,,
CN(C)CCn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21, 41,,
CN(C)CCCn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21, 21,,
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1, 3.7,,
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1, 8.8,,
O=C(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21, 5.1,,
OCCN(CCO)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12, 3.5,,
CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12, 2.6,,
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1, 4.8,,
